stadium_name,week_number,average_temperature
AT&T Stadium,16,20.29
AT&T Stadium,17,20.76
AT&T Stadium,18,22.67
AT&T Stadium,19,23.33
AT&T Stadium,20,22.99
AT&T Stadium,21,26.81
AT&T Stadium,22,24.49
AT&T Stadium,23,27.17
AT&T Stadium,24,26.67
AT&T Stadium,25,28.6
AT&T Stadium,26,31.47
AT&T Stadium,27,30.71
AT&T Stadium,28,28.73
AT&T Stadium,29,29.3
AT&T Stadium,30,26.21
AT&T Stadium,31,31.09
AT&T Stadium,32,30.8
AT&T Stadium,33,32.56
AT&T Stadium,34,32.2
AT&T Stadium,35,29.01
AT&T Stadium,36,24.66
AT&T Stadium,37,25.51
AT&T Stadium,38,29.09
AT&T Stadium,39,23.37
AT&T Stadium,40,25.13
AT&T Stadium,41,25.26
AT&T Stadium,42,19.61
AT&T Stadium,43,24.26
AT&T Stadium,44,23.2
AT&T Stadium,45,17.87
AT&T Stadium,46,16.41
AT&T Stadium,47,14.9
AT&T Stadium,48,10.86
AT&T Stadium,49,9.34
AT&T Stadium,50,12.2
AT&T Stadium,51,11.66
AT&T Stadium,52,14.29
Bank of America Stadium,1,5.81
Bank of America Stadium,2,6.19
Bank of America Stadium,3,0.64
Bank of America Stadium,4,11.23
Bank of America Stadium,5,6.17
Bank of America Stadium,6,8.3
Bank of America Stadium,7,8.76
Bank of America Stadium,8,7.21
Bank of America Stadium,9,10.69
Bank of America Stadium,10,12.9
Bank of America Stadium,11,13.34
Bank of America Stadium,12,10.47
Bank of America Stadium,13,12.67
Bank of America Stadium,14,14.34
Bank of America Stadium,15,16.39
Bank of America Stadium,16,20.36
Bank of America Stadium,17,16.06
Bank of America Stadium,18,21.1
Bank of America Stadium,19,20.6
Bank of America Stadium,20,19.37
Bank of America Stadium,21,23.03
Bank of America Stadium,22,21.99
Bank of America Stadium,23,24.23
Bank of America Stadium,24,25.09
Bank of America Stadium,25,26.34
Bank of America Stadium,26,28.33
Bank of America Stadium,27,27.51
Bank of America Stadium,28,27.9
Bank of America Stadium,29,26.71
Bank of America Stadium,30,25.31
Bank of America Stadium,31,26.64
Bank of America Stadium,32,25.27
Bank of America Stadium,33,24.67
Bank of America Stadium,34,22.19
Bank of America Stadium,35,26.31
Bank of America Stadium,36,21.44
Bank of America Stadium,37,21.43
Bank of America Stadium,38,21.39
Bank of America Stadium,39,22.63
Bank of America Stadium,40,21.33
Bank of America Stadium,41,17.03
Bank of America Stadium,42,12.73
Bank of America Stadium,43,16.4
Bank of America Stadium,44,16.53
Bank of America Stadium,45,16.99
Bank of America Stadium,46,11.51
Bank of America Stadium,47,10.43
Bank of America Stadium,48,8.54
Bank of America Stadium,49,2.64
Bank of America Stadium,50,8.29
Bank of America Stadium,51,8.23
Bank of America Stadium,52,6.34
Caesars Superdome,1,11.83
Caesars Superdome,2,12.26
Caesars Superdome,3,5.7
Caesars Superdome,4,16.26
Caesars Superdome,5,13.29
Caesars Superdome,6,16.26
Caesars Superdome,7,12.47
Caesars Superdome,8,15.17
Caesars Superdome,9,17.9
Caesars Superdome,10,19.27
Caesars Superdome,11,18.79
Caesars Superdome,12,15.39
Caesars Superdome,13,18.59
Caesars Superdome,14,20.19
Caesars Superdome,15,20.64
Caesars Superdome,16,22.57
Caesars Superdome,17,21.4
Caesars Superdome,18,24.13
Caesars Superdome,19,26.31
Caesars Superdome,20,25.47
Caesars Superdome,21,26.67
Caesars Superdome,22,26.47
Caesars Superdome,23,27.63
Caesars Superdome,24,28.36
Caesars Superdome,25,27.21
Caesars Superdome,26,28.61
Caesars Superdome,27,28.84
Caesars Superdome,28,28.01
Caesars Superdome,29,27.29
Caesars Superdome,30,26.86
Caesars Superdome,31,29.46
Caesars Superdome,32,30.63
Caesars Superdome,33,30.06
Caesars Superdome,34,29.23
Caesars Superdome,35,27.26
Caesars Superdome,36,25.97
Caesars Superdome,37,25.1
Caesars Superdome,38,26.47
Caesars Superdome,39,25.99
Caesars Superdome,40,25.51
Caesars Superdome,41,23.53
Caesars Superdome,42,19.77
Caesars Superdome,43,21.31
Caesars Superdome,44,24.06
Caesars Superdome,45,24.91
Caesars Superdome,46,21.2
Caesars Superdome,47,17.3
Caesars Superdome,48,15.43
Caesars Superdome,49,11.87
Caesars Superdome,50,15.44
Caesars Superdome,51,13.99
