stadium_name,week_number,condition
AT&T Stadium,9,cloudy
AT&T Stadium,10,cloudy
AT&T Stadium,11,rainy
AT&T Stadium,12,cloudy
AT&T Stadium,13,cloudy
AT&T Stadium,14,cloudy
AT&T Stadium,15,cloudy
AT&T Stadium,16,drizzle
AT&T Stadium,17,rainy
AT&T Stadium,18,drizzle
AT&T Stadium,19,rainy
AT&T Stadium,20,sunny
AT&T Stadium,21,rainy
AT&T Stadium,22,rainy
AT&T Stadium,23,cloudy
AT&T Stadium,24,rainy
AT&T Stadium,25,drizzle
AT&T Stadium,26,cloudy
AT&T Stadium,27,cloudy
AT&T Stadium,28,partly_cloudy
AT&T Stadium,29,cloudy
AT&T Stadium,30,drizzle
AT&T Stadium,31,cloudy
AT&T Stadium,32,cloudy
AT&T Stadium,33,cloudy
AT&T Stadium,34,cloudy
AT&T Stadium,35,drizzle
AT&T Stadium,36,drizzle
AT&T Stadium,37,sunny
AT&T Stadium,38,sunny
AT&T Stadium,39,sunny
AT&T Stadium,40,sunny
AT&T Stadium,41,sunny
AT&T Stadium,42,sunny
AT&T Stadium,43,sunny
AT&T Stadium,44,drizzle
AT&T Stadium,45,rainy
AT&T Stadium,46,cloudy
AT&T Stadium,47,sunny
AT&T Stadium,48,cloudy
AT&T Stadium,49,rainy
AT&T Stadium,50,cloudy
AT&T Stadium,51,drizzle
AT&T Stadium,52,cloudy
Bank of America Stadium,1,cloudy
Bank of America Stadium,2,cloudy
Bank of America Stadium,3,cloudy
Bank of America Stadium,4,drizzle
Bank of America Stadium,5,cloudy
Bank of America Stadium,6,cloudy
Bank of America Stadium,7,cloudy
Bank of America Stadium,8,cloudy
Bank of America Stadium,9,cloudy
Bank of America Stadium,10,drizzle
Bank of America Stadium,11,cloudy
Bank of America Stadium,12,sunny
Bank of America Stadium,13,cloudy
Bank of America Stadium,14,cloudy
Bank of America Stadium,15,drizzle
Bank of America Stadium,16,cloudy
Bank of America Stadium,17,cloudy
Bank of America Stadium,18,sunny
Bank of America Stadium,19,drizzle
Bank of America Stadium,20,rainy
Bank of America Stadium,21,cloudy
Bank of America Stadium,22,cloudy
Bank of America Stadium,23,drizzle
Bank of America Stadium,24,cloudy
Bank of America Stadium,25,cloudy
Bank of America Stadium,26,drizzle
Bank of America Stadium,27,cloudy
Bank of America Stadium,28,drizzle
Bank of America Stadium,29,rainy
Bank of America Stadium,30,drizzle
Bank of America Stadium,31,drizzle
Bank of America Stadium,32,rainy
Bank of America Stadium,33,drizzle
Bank of America Stadium,34,sunny
Bank of America Stadium,35,cloudy
Bank of America Stadium,36,cloudy
Bank of America Stadium,37,drizzle
Bank of America Stadium,38,drizzle
Bank of America Stadium,39,rainy
Bank of America Stadium,40,drizzle
Bank of America Stadium,41,sunny
Bank of America Stadium,42,sunny
Bank of America Stadium,43,sunny
Bank of America Stadium,44,cloudy
Bank of America Stadium,45,rainy
Bank of America Stadium,46,cloudy
Bank of America Stadium,47,cloudy
Bank of America Stadium,48,cloudy
Bank of America Stadium,49,cloudy
Bank of America Stadium,50,rainy
Bank of America Stadium,51,cloudy
Bank of America Stadium,52,cloudy
Caesars Superdome,1,cloudy
Caesars Superdome,2,cloudy
Caesars Superdome,3,cloudy
Caesars Superdome,4,rainy
Caesars Superdome,5,cloudy
Caesars Superdome,6,drizzle
Caesars Superdome,7,cloudy
Caesars Superdome,8,sunny
Caesars Superdome,9,rainy
Caesars Superdome,10,rainy
Caesars Superdome,11,drizzle
Caesars Superdome,12,cloudy
Caesars Superdome,13,cloudy
Caesars Superdome,14,cloudy
Caesars Superdome,15,cloudy
Caesars Superdome,16,drizzle
Caesars Superdome,17,cloudy
Caesars Superdome,18,drizzle
Caesars Superdome,19,drizzle
Caesars Superdome,20,rainy
Caesars Superdome,21,cloudy
Caesars Superdome,22,rainy
Caesars Superdome,23,drizzle
Caesars Superdome,24,drizzle
Caesars Superdome,25,drizzle
Caesars Superdome,26,drizzle
Caesars Superdome,27,rainy
Caesars Superdome,28,rainy
Caesars Superdome,29,rainy
Caesars Superdome,30,rainy
Caesars Superdome,31,drizzle
